x_fraction,mean_eneg,mean_radius,max_oxid,formation_energy_per_atom
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.3333,1.91,1.35,2.0,
0.25,1.91,1.35,2.0,
0.6667,1.9,1.35,2.0,
0.4,1.9,1.35,2.0,
0.4,1.9,1.35,2.0,
0.4,1.9,1.35,2.0,
0.4,1.9,1.35,2.0,
0.4,1.9,1.35,2.0,
0.6,1.9,1.35,2.0,
0.4286,1.9,1.35,2.0,
0.4286,1.9,1.35,2.0,
0.5714,1.9,1.35,2.0,
0.5714,1.9,1.35,2.0,
0.4167,1.9,1.35,2.0,
0.9846,1.9,1.35,2.0,
0.8571,1.9,1.35,2.0,
0.8889,1.9,1.35,2.0,
0.8889,1.9,1.35,2.0,
0.5333,1.9,1.35,2.0,
0.5333,1.9,1.35,2.0,
0.5333,1.9,1.35,2.0,
0.4091,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.5,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.3333,1.9,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.5,1.65,1.35,2.0,
0.3333,1.65,1.35,2.0,
