battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-769459_Na,NiPCO7,Ni,Na5Ni2P2(CO7)2,1.91,1.35,2.0,3.44,0.0,2,1,15.102,2.3494,2.19,0,2.5,4.112835,0.021863
mp-25304_Na,NiPO4,Ni,NaNiPO4,1.91,1.35,2.0,3.44,0.0,63,3,10.2781,4.1377,2.19,0,3.0,4.420448,0.236763
mp-1044451_Na,PrTi2O6,Ti,NaPrTi2O6,1.54,1.4,4.0,3.44,0.0,31,3,12.9744,4.7303,0.0,0,4.0,4.204541,0.003822
mp-559563_Na,Rb2CoF6,Co,Rb2NaCoF6,1.88,1.35,3.0,3.98,0.0,225,7,18.4606,3.4367,0.0,0,3.0,4.910117,0.09526
mp-560562_Na,Rb2CrF6,Cr,Rb2NaCrF6,1.66,1.4,6.0,3.98,0.0,139,4,18.4158,3.3756,0.0,0,4.0,4.49836,0.045265
mp-558050_Na,Rb2MnF6,Mn,Rb2NaMnF6,1.55,1.4,7.0,3.98,0.0,225,7,18.3362,3.4198,0.0,0,3.0,3.765955,0.026796
mp-1110703_Na,Rb2MoBr6,Mo,Rb2NaMoBr6,2.16,1.45,6.0,2.96,0.0,225,7,34.3901,4.0039,0.0,0,3.0,2.189162,0.095533
mp-556353_Na,Rb2NiF6,Ni,Rb2NaNiF6,1.91,1.35,2.0,3.98,0.0,225,7,17.6376,3.5946,0.0,0,3.0,4.578059,0.027058
mp-1206768_Na,Rb2VCl6,V,Rb2NaVCl6,1.63,1.35,5.0,3.16,0.0,225,7,29.2679,2.7397,0.0,0,3.0,2.675844,0.045793
mp-560671_Na,Rb2VF6,V,Rb2NaVF6,1.63,1.35,5.0,3.98,0.0,225,7,18.1575,3.4129,0.0,0,3.0,4.005765,0.016347
mp-759333_Na,Ti11O24,Ti,Na7Ti11O24,1.54,1.4,4.0,3.44,0.0,8,2,14.0082,3.0838,0.0,0,3.5,1.965726,0.031913
mp-6761_Na,Ti2(PO4)3,Ti,Na3Ti2(PO4)3,1.54,1.4,4.0,3.44,0.0,167,5,13.6705,2.7198,2.19,5,4.0,2.306019,0.117365
mp-772859_Na,Ti3Fe(PO4)6,Ti,Na2Ti3Fe(PO4)6,1.6125,1.4,3.75,3.44,0.0,146,5,14.0832,2.6678,2.19,0,3.2495,4.137728,0.021845
mp-757045_Na,Ti3Nb(CuO4)3,Ti,NaTi3Nb(CuO4)3,1.72,1.375,3.0,3.44,0.0,148,5,10.9254,4.9527,1.6,5,3.5,3.337309,0.017559
