tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.83,1.4,3.0,3.44,5.0,5,2,11.7163,4.3482,,
1.83,1.4,3.0,3.98,5.0,1,1,14.5905,3.394,,
1.83,1.4,3.0,3.44,8.0,1,1,13.9203,3.0075,,
1.83,1.4,3.0,3.44,8.0,1,1,13.7991,2.9344,,
1.83,1.4,3.0,3.44,6.0,2,1,13.1163,3.2616,,
1.835,1.395,3.0,3.44,10.0,10,2,12.2488,3.9836,,
1.83,1.4,3.0,3.44,1.0,5,2,13.195,3.9979,,
1.83,1.4,3.0,3.44,3.0,4,2,15.3943,2.7482,,
1.83,1.4,3.0,3.44,3.0,11,2,15.0003,2.8071,-4.017984,0.042863
1.83,1.4,3.0,3.44,3.0,1,1,12.2227,3.1153,-3.088902,0.010647
1.83,1.4,3.0,3.44,5.0,7,2,15.6054,2.3171,,
1.83,1.4,3.0,3.44,2.0,14,2,15.6587,2.3304,,
1.83,1.4,3.0,3.44,2.0,11,2,14.5698,2.4152,,
1.8675,1.3625,3.0,3.44,4.0,6,2,11.7009,3.622,,
1.8675,1.3625,3.0,3.44,2.0,1,1,11.0827,4.503,,
1.8717,1.3583,3.0,3.44,4.0,12,2,11.7212,4.2698,,
1.875,1.355,3.0,3.44,10.0,2,1,11.284,4.4453,,
1.83,1.4,3.0,3.44,2.0,11,2,12.5326,3.4155,,
1.83,1.4,3.0,3.44,4.0,6,2,12.6613,3.4229,,
1.83,1.4,3.0,3.44,4.0,166,5,12.0903,4.2861,,
1.83,1.4,3.0,3.44,3.0,74,3,12.6658,4.0072,,
1.83,1.4,3.0,3.98,2.0,15,2,16.1198,2.7162,,
1.83,1.4,3.0,3.44,1.0,14,2,11.741,1.7365,,
1.83,1.4,3.0,3.44,2.0,14,2,11.0869,2.084,,
1.995,1.425,4.5,3.44,1.0,129,4,18.4966,3.2221,-3.429464,0.005863
1.87,1.375,2.5,3.44,2.0,11,2,11.6825,3.6066,,
1.89,1.3625,2.25,3.44,4.0,6,2,11.6482,3.6341,,
1.89,1.3625,2.25,3.44,4.0,12,2,11.6832,4.263,,
1.902,1.355,2.1,3.44,10.0,2,1,11.3988,4.3901,,
1.87,1.375,2.5,3.44,3.0,74,3,11.8313,4.1763,,
1.83,1.4,3.0,3.44,1.0,74,3,12.295,3.9547,,
1.83,1.4,3.0,3.44,2.0,8,2,13.2026,3.2652,,
1.83,1.4,3.0,3.44,5.0,7,2,19.9413,1.9959,,
1.83,1.4,3.0,3.98,8.0,1,1,20.4561,1.7956,,
1.83,1.4,3.0,3.98,3.0,12,2,15.1558,2.8233,,
1.83,1.4,3.0,3.98,4.0,8,2,15.6634,2.6122,,
1.83,1.4,3.0,3.98,5.0,144,5,15.8136,2.5027,-2.826266,0.002572
1.83,1.4,3.0,3.44,2.0,4,2,12.1373,2.8137,,
1.83,1.4,3.0,3.44,1.0,14,2,13.985,2.7284,,
1.83,1.4,3.0,3.44,4.0,1,1,14.6828,2.4672,-4.625163,0.012176
1.83,1.4,3.0,3.44,2.0,1,1,14.0059,2.4996,,
1.83,1.4,3.0,3.44,2.0,2,1,11.2574,3.0944,,
1.83,1.4,3.0,3.44,1.0,159,5,12.7001,3.2865,-3.847419,0.022464
1.83,1.4,3.0,3.98,2.0,2,1,13.314,3.0256,,
1.83,1.4,3.0,3.44,3.0,7,2,15.523,2.5492,,
1.83,1.4,3.0,3.44,1.0,181,6,16.9548,2.4147,-4.710699,0.002258
1.83,1.4,3.0,3.44,3.0,1,1,16.2769,2.3891,,
