battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-770529_Li,Mn15CrO32,Mn,Li8Mn15CrO32,1.5569,1.4,6.9375,3.44,8.0,12,2,11.5821,4.146,0.0,4,3.3333,3.923521,0.074378
mp-772976_Li,Mn15NiO32,Mn,Li8Mn15NiO32,1.5725,1.3969,6.6875,3.44,8.0,166,5,11.637,4.1463,0.0,3,3.0,4.020916,0.051457
mp-758827_Li,Mn17O40,Mn,Li13Mn17O40,1.55,1.4,7.0,3.44,13.0,12,2,12.3102,3.7247,0.0,4,3.1586,4.733996,0.005471
mp-26368_Li,Mn2(PO4)3,Mn,Li3Mn4(PO4)6,1.55,1.4,7.0,3.44,3.0,15,2,12.0973,3.1877,2.19,4,4.0,5.161204,0.017261
mp-768543_Li,Mn2(SO4)3,Mn,Li2Mn2(SO4)3,1.55,1.4,7.0,3.44,2.0,15,2,12.8674,3.0218,2.58,4,3.0,4.586267,0.091108
mp-771387_Li,Mn2C4SO16,Mn,Li6Mn2C4SO16,1.55,1.4,7.0,3.44,6.0,70,3,13.2142,2.4366,2.58,0,2.0,3.885643,0.00385
mp-757011_Li,Mn2Co(PO4)3,Mn,Li2Mn2Co(PO4)3,1.66,1.3833,5.6667,3.44,2.0,167,5,12.3322,3.3941,2.19,5,3.0,4.088258,0.053342
mp-753987_Li,Mn2Co3Te3O16,Co,Li4Mn2Co3Te3O16,1.748,1.37,4.6,3.44,4.0,8,2,12.0307,5.3224,0.0,0,2.0,3.610462,0.151466
mp-1174049_Li,Mn2CoO8,Mn,Li5Mn2CoO8,1.66,1.3833,5.6667,3.44,5.0,12,2,12.6705,3.5362,0.0,4,3.5,3.942485,0.003642
mp-772631_Li,Mn2Cr3O12,Cr,Li2Mn2Cr3O12,1.616,1.4,6.4,3.44,2.0,60,3,15.126,2.9567,0.0,0,4.5,4.046286,0.087467
mp-766080_Li,Mn2Cr3Sb3O16,Cr,Li4Mn2Cr3Sb3O16,1.616,1.4,6.4,3.44,4.0,8,2,12.0382,5.0988,2.05,0,2.5,3.587113,0.12643
mp-760233_Li,Mn2CrNi3(PO4)6,Ni,Li4Mn2CrNi3(PO4)6,1.7483,1.375,4.3333,3.44,4.0,146,5,12.4932,3.3516,2.19,0,3.3333,4.109621,0.024945
mp-774897_Li,Mn2CrO6,Mn,Li3Mn2CrO6,1.5867,1.4,6.6667,3.44,3.0,12,2,11.6258,4.0924,0.0,4,3.0,3.419367,0.078989
mp-755409_Li,Mn2Cu3O10,Mn,Li5Mn2Cu3O10,1.55,1.4,7.0,3.44,5.0,2,1,12.2315,4.1679,0.0,0,4.0,3.981818,0.005178
mp-753435_Li,Mn2F7,Mn,LiMn2F7,1.55,1.4,7.0,3.98,1.0,15,2,14.0712,3.1845,0.0,4,3.1586,5.479468,0.014197
